,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,North Platte,US,41.1239,-100.7654,65.01,92,1,4.61,clear sky
80,Bandarbeyla,SO,9.4942,50.8122,90.0,43,17,27.09,few clouds
81,Tongren,CN,27.7172,109.1853,85.53,74,36,2.42,scattered clouds
82,Newtownards,GB,54.5924,-5.6909,66.52,76,90,1.01,overcast clouds
83,Marystown,CA,47.1666,-55.1483,58.17,82,17,3.71,few clouds
84,Moen,NO,69.1304,18.6123,63.32,82,75,2.3,broken clouds
85,Kapuskasing,CA,49.4169,-82.4331,52.77,98,61,4.74,broken clouds
86,Tasiilaq,GL,65.6145,-37.6368,46.56,81,0,0.74,clear sky
87,Saint-Augustin,CA,51.226,-58.6502,60.37,79,22,7.94,few clouds
88,Vila Velha,BR,-20.3297,-40.2925,64.35,88,20,4.61,few clouds
89,Grindavik,IS,63.8424,-22.4338,53.56,84,100,13.69,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,68.18,51,100,6.6,overcast clouds
91,Pushkar,IN,26.5,74.55,83.01,73,100,12.44,overcast clouds
92,Evensk,RU,61.95,159.2333,49.15,99,100,1.81,light rain
93,Busselton,AU,-33.65,115.3333,61.05,70,91,27.42,overcast clouds
94,Mount Isa,AU,-20.7333,139.5,53.37,40,8,0.0,clear sky
95,Lagoa,PT,39.05,-27.9833,68.85,82,80,7.94,broken clouds
96,Jyvaskyla,FI,62.2415,25.7209,83.95,36,0,3.44,clear sky
97,Qaanaaq,GL,77.484,-69.3632,40.82,62,91,7.58,overcast clouds
98,Bridgetown,BB,13.1,-59.6167,81.09,89,40,12.66,scattered clouds
99,Bamako,ML,12.65,-8.0,85.75,62,19,4.63,few clouds
100,Touros,BR,-5.1989,-35.4608,74.3,70,23,14.85,few clouds
101,Port Hedland,AU,-20.3167,118.5667,68.05,73,95,8.05,overcast clouds
102,Olafsvik,IS,64.8945,-23.7142,49.26,87,100,11.74,moderate rain
103,Sukhobezvodnoye,RU,57.0491,44.8891,73.71,34,65,8.5,broken clouds
104,Nizhniy Tsasuchey,RU,50.5167,115.1333,67.26,72,79,10.63,broken clouds
105,Bengkulu,ID,-3.8004,102.2655,81.07,69,25,6.49,scattered clouds
106,Egvekinot,RU,66.3167,-179.1667,43.74,94,100,3.98,overcast clouds
107,Veraval,IN,20.9,70.3667,83.23,77,78,17.78,broken clouds
108,Yarada,IN,17.65,83.2667,93.47,54,84,19.15,broken clouds
109,Chokurdakh,RU,70.6333,147.9167,44.78,61,99,14.97,overcast clouds
110,Galesong,ID,-5.3166,119.3661,79.54,70,4,5.03,clear sky
111,Carutapera,BR,-1.195,-46.02,79.84,83,34,6.64,scattered clouds
112,Ponta Do Sol,PT,32.6667,-17.1,80.01,87,0,1.81,clear sky
113,Fairbanks,US,64.8378,-147.7164,58.82,80,90,0.0,overcast clouds
114,Okha,RU,53.5739,142.9478,64.22,89,97,5.46,overcast clouds
115,Marovoay,MG,-16.1,46.6333,87.94,31,13,12.86,few clouds
116,Thompson,CA,55.7435,-97.8558,43.77,62,15,3.87,few clouds
117,Bethel,US,41.3712,-73.414,71.47,93,1,0.0,clear sky
118,Orotukan,RU,62.2667,151.7,47.61,97,100,4.76,light rain
119,Hilo,US,19.7297,-155.09,73.8,94,90,3.44,moderate rain
120,Harper,LR,4.375,-7.7169,77.95,72,100,9.51,overcast clouds
121,Wasilla,US,61.5814,-149.4394,56.21,86,90,0.0,overcast clouds
122,Greer,US,34.9387,-82.2271,75.65,95,1,3.44,mist
123,Mataura,NZ,-46.1927,168.8643,47.48,98,100,5.84,light rain
124,Butaritari,KI,3.0707,172.7902,79.9,79,100,5.46,overcast clouds
125,Grimshaw,CA,56.1834,-117.6027,53.15,71,74,6.85,broken clouds
126,Provideniya,RU,64.3833,-173.3,48.7,96,100,2.64,overcast clouds
127,Sao Filipe,CV,14.8961,-24.4956,75.27,71,49,1.01,scattered clouds
128,Port Alfred,ZA,-33.5906,26.891,74.25,27,83,11.72,broken clouds
129,Shizunai,JP,42.3339,142.3669,68.0,92,34,9.33,scattered clouds
130,Port Blair,IN,11.6667,92.75,83.05,84,90,19.95,overcast clouds
131,Dingle,PH,10.9995,122.6711,79.79,81,98,10.74,light rain
132,Faya,SA,18.3851,42.4509,72.12,58,69,7.27,broken clouds
133,Black River,JM,18.0264,-77.8487,75.97,85,77,3.8,broken clouds
134,Taltal,CL,-25.4,-70.4833,54.28,73,0,3.51,clear sky
135,Laguna,US,38.421,-121.4238,78.44,59,1,3.0,clear sky
136,Kavieng,PG,-2.5744,150.7967,82.04,72,35,5.97,scattered clouds
137,Pangnirtung,CA,66.1451,-65.7125,52.36,86,98,3.42,overcast clouds
138,Sitka,US,57.0531,-135.33,51.69,87,75,3.44,broken clouds
139,Toledo,ES,39.8333,-4.0,77.14,34,73,7.09,broken clouds
140,Port Elizabeth,ZA,-33.918,25.5701,75.09,25,99,16.78,overcast clouds
141,Alofi,NU,-19.0595,-169.9187,67.89,100,40,1.14,scattered clouds
142,Burgeo,CA,47.6167,-57.6152,58.03,90,100,7.54,overcast clouds
143,Poum,NC,-20.2333,164.0167,71.22,71,16,18.52,few clouds
144,General Roca,AR,-39.0333,-67.5833,34.2,63,0,5.91,clear sky
145,Mildura,AU,-34.2,142.15,53.56,58,32,6.91,scattered clouds
146,Djenne,ML,13.9061,-4.5533,92.82,44,71,11.9,broken clouds
147,Sorland,NO,67.667,12.6934,57.27,83,92,7.36,overcast clouds
148,Ribeira Grande,PT,38.5167,-28.7,70.54,81,26,13.24,scattered clouds
149,Defiance,US,41.3334,-84.45,67.39,78,50,4.27,scattered clouds
150,The Valley,AI,18.217,-63.0578,82.26,83,20,14.97,haze
151,Carnarvon,AU,-24.8667,113.6333,69.87,77,90,12.66,overcast clouds
152,Saint-Philippe,RE,-21.3585,55.7679,74.21,74,2,11.83,clear sky
153,Vostok,RU,46.4856,135.8833,76.66,76,100,1.77,overcast clouds
154,Baykit,RU,61.67,96.37,88.61,33,81,7.07,broken clouds
155,Salamanca,ES,40.8333,-6.0,72.99,38,4,9.62,clear sky
156,Cayenne,GF,4.9333,-52.3333,79.09,91,90,3.44,overcast clouds
157,Isangel,VU,-19.55,169.2667,73.11,75,73,15.95,broken clouds
158,Riviere-Au-Renard,CA,48.9957,-64.3971,61.75,97,100,7.18,overcast clouds
159,Vilyuysk,RU,63.7553,121.6247,78.06,54,65,6.22,broken clouds
160,Dongsheng,CN,39.8161,109.9776,76.37,39,63,14.83,broken clouds
161,Portland,US,45.5234,-122.6762,64.15,80,1,1.01,clear sky
162,Buriti Dos Lopes,BR,-3.175,-41.8669,78.64,62,49,5.73,scattered clouds
163,Crixas,BR,-14.5489,-49.9692,70.79,41,6,4.43,clear sky
164,Gilgit,PK,35.9221,74.3087,103.28,20,0,2.73,clear sky
165,Torbay,CA,47.6666,-52.7314,56.75,97,96,2.93,overcast clouds
166,Cabo San Lucas,MX,22.8909,-109.9124,83.52,69,11,1.01,few clouds
167,Arlit,NE,18.7369,7.3853,102.58,21,72,12.33,broken clouds
168,Henties Bay,NA,-22.116,14.2845,83.08,26,0,21.77,clear sky
169,Mahebourg,MU,-20.4081,57.7,75.25,67,18,13.4,few clouds
170,Chara,RU,56.9064,118.2631,69.69,58,11,5.28,few clouds
171,Strakonice,CZ,49.2614,13.9024,83.62,59,79,2.95,broken clouds
172,Clyde River,CA,70.4692,-68.5914,35.83,100,90,5.75,light rain
173,Yar-Sale,RU,66.8333,70.8333,61.16,51,99,4.94,overcast clouds
174,Mednogorsk,RU,51.4128,57.595,74.86,28,0,7.43,clear sky
175,Palmer,US,42.1584,-72.3287,70.97,86,90,3.44,mist
176,Lubao,PH,14.9167,120.55,84.15,84,99,9.17,overcast clouds
177,Rafaela,AR,-31.2503,-61.4867,43.05,71,0,4.0,clear sky
178,Kloulklubed,PW,7.0419,134.2556,82.9,81,100,10.89,overcast clouds
179,Nuuk,GL,64.1835,-51.7216,50.61,76,75,3.44,broken clouds
180,Ponta Delgada,PT,37.7333,-25.6667,72.39,72,35,8.57,scattered clouds
181,Aklavik,CA,68.2191,-135.0107,48.15,90,100,3.09,overcast clouds
182,Sulangan,PH,11.1373,123.7228,84.78,76,94,20.11,overcast clouds
183,Uruzgan,AF,32.8333,66.0,102.0,8,0,9.08,clear sky
184,Castro,BR,-24.7911,-50.0119,55.22,58,0,4.07,clear sky
185,Mustang,US,35.3842,-97.7245,74.55,84,75,9.22,broken clouds
186,Husavik,IS,66.0449,-17.3389,58.91,50,9,8.37,clear sky
187,Xining,CN,36.6167,101.7667,67.62,56,83,7.09,broken clouds
188,Christchurch,NZ,-43.5333,172.6333,50.92,85,68,6.29,broken clouds
189,Bilibino,RU,68.0546,166.4372,46.35,72,96,6.82,overcast clouds
190,Yumen,CN,40.2833,97.2,89.89,12,95,20.74,overcast clouds
191,Muzaffargarh,PK,30.0754,71.1921,107.62,19,62,2.84,broken clouds
192,Sirjan,IR,29.452,55.6814,93.45,7,0,21.54,clear sky
193,Batticaloa,LK,7.7102,81.6924,88.61,60,69,3.98,broken clouds
194,Novo Cruzeiro,BR,-17.4681,-41.8753,60.89,82,41,2.84,scattered clouds
195,Tahoua,NE,14.8888,5.2692,88.77,50,95,16.28,overcast clouds
196,Turukhansk,RU,65.8167,87.9833,85.59,40,100,8.88,overcast clouds
197,Honningsvag,NO,70.9821,25.9704,46.15,81,40,9.22,scattered clouds
198,Talnakh,RU,69.4865,88.3972,71.08,70,99,3.42,overcast clouds
199,Aswan,EG,24.0934,32.907,102.72,13,0,11.41,clear sky
200,Sampit,ID,-2.5333,112.95,78.17,78,4,5.26,clear sky
201,Kathu,TH,7.9178,98.3332,87.69,71,92,14.63,overcast clouds
202,Lompoc,US,34.6391,-120.4579,60.48,99,90,0.0,mist
203,Benguela,AO,-12.5763,13.4055,78.03,63,11,9.86,few clouds
204,Devils Lake,US,48.1128,-98.8651,66.94,54,1,5.99,clear sky
205,Texas City,US,29.3838,-94.9027,80.98,89,1,7.0,clear sky
206,Esperance,AU,-33.8667,121.9,62.44,54,43,25.17,light rain
207,Chalus,IR,36.655,51.4204,85.69,70,25,6.06,scattered clouds
208,Sassandra,CI,4.95,-6.0833,79.75,69,82,8.68,broken clouds
209,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,68,0,11.5,clear sky
210,Bac Lieu,VN,9.285,105.7244,85.1,69,70,13.76,broken clouds
211,Saint George,US,37.1041,-113.5841,78.64,69,1,1.99,clear sky
212,Namatanai,PG,-3.6667,152.4333,78.87,79,44,1.88,light rain
213,Hofn,IS,64.2539,-15.2082,55.42,76,40,8.05,scattered clouds
214,Bardiyah,LY,31.7561,25.0865,83.89,50,0,11.59,clear sky
215,Puerto Madero,MX,14.7208,-92.4215,77.2,100,40,3.44,scattered clouds
216,Pinos,MX,22.3,-101.5667,45.59,86,9,3.89,clear sky
217,Taraza,CO,7.5836,-75.4007,73.04,98,99,1.79,overcast clouds
218,Aripuana,BR,-9.1667,-60.6333,70.59,64,30,1.19,scattered clouds
219,Yenagoa,NG,4.9247,6.2642,85.87,50,90,5.86,overcast clouds
220,Grand Gaube,MU,-20.0064,57.6608,75.6,62,3,8.99,clear sky
221,Huatulco,MX,15.8436,-96.3267,75.87,81,75,0.0,broken clouds
222,Khatanga,RU,71.9667,102.5,70.07,44,56,7.09,broken clouds
223,Ilulissat,GL,69.2167,-51.1,53.62,37,75,4.61,broken clouds
224,Oktyabrskiy,RU,54.4815,53.471,74.25,26,68,8.5,broken clouds
225,Garavuti,TJ,37.5672,68.4469,109.92,8,0,11.54,clear sky
226,Hailar,CN,49.2,119.7,64.9,79,100,4.74,overcast clouds
227,San Cristobal,VE,7.7669,-72.225,66.38,96,98,1.23,overcast clouds
228,Uvalde,US,29.3669,-99.767,77.18,74,1,4.61,mist
229,Itoman,JP,26.1247,127.6694,82.78,92,75,9.22,broken clouds
230,Cooma,AU,-36.2333,149.1333,45.27,70,100,12.48,moderate rain
231,Barrow,US,71.2906,-156.7887,39.22,98,90,9.22,fog
